Spikes_Times,Trial_index,UnitNum,Spike_Time_in_Trial,LogicStim,TrialOutcome,StimType,layer,Unit Type,Whisker
494.676026,104,44,1.5267189999999573,2,2,VTN,L2_3,RS,D1
494.686459,104,44,1.5371519999999919,2,2,VTN,L2_3,RS,D1
495.12879,104,44,1.9794829999999592,2,2,VTN,L2_3,RS,D1
495.283057,104,44,2.1337499999999636,2,2,VTN,L2_3,RS,D1
498.199245,105,44,0.364846,0,2,VTN,L2_3,RS,D3
498.235145,105,44,0.4007459999999696,0,2,VTN,L2_3,RS,D3
502.800393,106,44,0.28110299999997324,4,2,VTN,L2_3,RS,C2
503.213958,106,44,0.6946679999999787,4,2,VTN,L2_3,RS,C2
521.956948,110,44,0.6991719999999759,17,2,RHR,L2_3,RS,B1
522.40588,110,44,1.1481039999999894,17,2,RHR,L2_3,RS,B1
522.635879,110,44,1.37810300000001,17,2,RHR,L2_3,RS,B1
522.722412,110,44,1.4646359999999277,17,2,RHR,L2_3,RS,B1
522.875011,110,44,1.617234999999937,17,2,RHR,L2_3,RS,B1
522.880345,110,44,1.6225689999999986,17,2,RHR,L2_3,RS,B1
523.154543,110,44,1.8967669999999544,17,2,RHR,L2_3,RS,B1
523.160577,110,44,1.902800999999954,17,2,RHR,L2_3,RS,B1
526.607196,111,44,0.6739690000000564,14,2,RHR,L2_3,RS,C1
541.033604,114,44,1.0558229999999185,8,2,VTN,L2_3,RS,B1
541.075571,114,44,1.097789999999918,8,2,VTN,L2_3,RS,B1
541.27847,114,44,1.3006889999999203,8,2,VTN,L2_3,RS,B1
541.366369,114,44,1.3885879999999133,8,2,VTN,L2_3,RS,B1
541.463836,114,44,1.4860549999999648,8,2,VTN,L2_3,RS,B1
541.640168,114,44,1.662386999999967,8,2,VTN,L2_3,RS,B1
544.988288,115,44,0.33005500000001575,13,2,RHR,L2_3,RS,C2
545.336153,115,44,0.6779199999999719,13,2,RHR,L2_3,RS,C2
545.450453,115,44,0.792220000000043,13,2,RHR,L2_3,RS,C2
545.738218,115,44,1.0799849999999651,13,2,RHR,L2_3,RS,C2
545.745018,115,44,1.0867849999999635,13,2,RHR,L2_3,RS,C2
573.108807,121,44,0.37894599999992806,2,2,VTN,L2_3,RS,D1
575.005733,121,44,2.2758719999999357,2,2,VTN,L2_3,RS,D1
578.16372,122,44,0.7538070000000516,0,2,VTN,L2_3,RS,D3
592.588762,125,44,1.1429349999999658,6,2,VTN,L2_3,RS,B3
596.331446,126,44,0.20032800000001316,16,2,RHR,L2_3,RS,B2
601.032361,127,44,0.21871099999998478,12,2,RHR,L2_3,RS,C3
601.051761,127,44,0.23811100000000351,12,2,RHR,L2_3,RS,C3
601.060694,127,44,0.24704399999995985,12,2,RHR,L2_3,RS,C3
601.559725,127,44,0.7460749999999052,12,2,RHR,L2_3,RS,C3
601.566159,127,44,0.7525089999999182,12,2,RHR,L2_3,RS,C3
602.648121,127,44,1.834470999999894,12,2,RHR,L2_3,RS,C3
602.652887,127,44,1.8392369999999119,12,2,RHR,L2_3,RS,C3
603.008153,127,44,2.1945029999999406,12,2,RHR,L2_3,RS,C3
606.256206,128,44,0.7614650000000438,2,2,VTN,L2_3,RS,D1
606.664038,128,44,1.1692970000000287,2,2,VTN,L2_3,RS,D1
610.619288,129,44,0.4603349999999864,7,2,VTN,L2_3,RS,B2
611.06792,129,44,0.9089669999999614,7,2,VTN,L2_3,RS,B2
611.445185,129,44,1.286232000000041,7,2,VTN,L2_3,RS,B2
611.548085,129,44,1.3891320000000178,7,2,VTN,L2_3,RS,B2
